RT @RahulGandhi: अपने बेटों को नफरत और सम्प्रदायिकता के कारण खोने के बाद यशपाल सक्सेना और इमाम रशीदी के संदेश ये दिखाते हैं कि हिन्दुस्तान…
RT @republic: #2019AndElection | Who made it about religion? Was it BJP or the Opposition? What's your view? https://t.co/lpnVZxGnA2
"RT @DaaruBaazMehta: SHARE MAX

Haryana is fed up of the corrupt politics of BJP. We will together build Haryana. Lets all unite to build a…"
"RT @anil100y: फिर से विवादों में संगीत सोम, पार्टनर ने ही लगाया BJP MLA पर 18 लाख हड़पने का आरोप
https://t.co/Z59SzgwWRL"
RT @JaiveerShergill: If you want to read a book of authority on #AprilFoolsDay then #BJP Election Manifesto 2014 aka “Jumla Pustak” is high…
"RT @ModiLeDubega: BJP, VHP, ABVP, Bajrang Dal, Hindu Yuva Bahini, ये सारे देश को बर्बाद करने वाले गैंग है

देश को यदि बचाना है तो इन तमाम…"
"RT @Arslan_Sadiq: Outrage as BJP leader sells Kashmir 'human shield' T-shirt
The use of representational picture on the T-shirts has furthe…"
RT @manakgupta: BJP बिहार पर चुप है पर बंगाल हिंसा पर बहस चाहती है. विरोधी बंगाल पर चुप हैं पर बिहार पर फ़ोकस चाहते हैं. बेशर्मी और बेईमानी…
RT @munna_jha: NDTV के अनुसार BJP और JD(U) शासित बिहार महा-भयंकर दंगे से गुजर रही है लेकिन पश्चिम बंगाल मे महज दो भाइयों के बीच झगड़ा है जो…
RT @rammadhavbjp: Attended Thank You India program together with Union Minister Mahesh Sharma n MPs Satyavrat Chaturvedi (Cong) n Shanta Ku…
"RT @iSinghApurva: #UTurnKejriwal 
झूठा @ArvindKejriwal 
Shame on you https://t.co/wymZLVKx7y"
@SirAbhisarlive @yadavdimplesp Formar president of india apj Abdul kalam bjp ke samay mai bharat sarkar ke sabse bade pad rastrapati the
"RT @INCMaharashtra: Time to say good bye to this BJP Govt who fooled the world's largest Democracy to the highest extent.
Exit route ↗ just…"
RT @srivatsayb: BJP IT Head Amit Malaviya Trolls Amit Shah &amp; Praises CM Siddaramaiah led Karnataka Government! https://t.co/sVNkfvrjMD
RT @Akshaysinghel: Trinamool Hooligans Attacked and Mandal President Of BJP Domjur  Ramkrishno Da and Subrata Sarkar; As Panchayat Election…
RT @SanjayAzadSln: भाइयों बहनो BJP दिवस की हार्दिक शुभकामनायें।
BJP National President Shri @AmitShah appointed Shri Shwait Malik as new @BJP4Punjab President. #BJPNewsTrack https://t.co/7N50ujPZOD
"RT @arbindjha: ""Immediately, all major U turns in Delhi should be  named as KejrU turn""- MEA (Ministry of Eternal Apology) chairman - Kejri…"
RT @siddaramaiah: Why did Congress deprive people of Karnataka the 14th FC funds? Is that the question? The ignorance displayed by the BJP…
"Don't be carried away by the All Fools Days that BJP and Congress will merge! 

Both the party spokespersons have s… https://t.co/FroXALkzUn"
"पहले तो ST,SC कानून को कमजोर किया उसके बाद जगह जगह बाबा साहेब की मूर्ति को तोड़ा जा रहा है । दलित भाई जागो नही तो… https://t.co/GS73Wj5FV8"
"RT @BedTet2011Sant1: जो सपा के वोटर हैं उनका समाधान तत्काल कर दिया गया !
   बी एड टी ई टी 2011 उत्तीर्ण bjp कार्यकर्ता/वोटर न्याय के लिये आ…"
@sardesairajdeep @IndiaToday BJP lady is a true bjp person when things don’t go as per you starts levelling  person… https://t.co/nBD9pnlC1O
@Priyank55389074 और ये सोचो की BJP के पास सत्ता है मगर वो 4 जज जिन्होंने प्रेस कॉन्फ्रेंस की थी आज भी जज बने हुए है।
"RT @Arka281079: Difference between BJP &amp; CONGRS.

Kuch log itne sajjan hote hain ki Chhink kr v sorry bol dete hain.(BJP)

Kuch log itne Do…"
RT @rahulkanwal: At this stage of the Karnataka elections there are enough indications to suggest Congress has its nose in front. They also…
"RT @rachitseth: Why is BJP playing with fire along with its opportunistic ally in Jammu &amp; Kashmir ? 7/ 

#HappyJumlaDivas"
@mitalishah121 Right Sabhi  Hindu birodhi  only bjp Hindu ki bat Karti hai
"As communal heat rises, BJP allies in Bihar rally together
Happy #ModiDiwas
https://t.co/C6lOH5mBmS
@IndianExpress"
"RT @ShashiTharoor: https://t.co/KqaKdDzi38
In Uttarakhand, private medical colleges hike fees 300%, from 7 lakh per yr to 26.6 lakh. A 4 yr…"
"RT @AashuSpeak: 👉Owaisi reached #Dadri from Hyd. 
👉Derek from Bengal
👉Kejri from Delhi
👉Rahul Delhi to dadri

Bengal is burning &amp; even BJP…"
"RT @divyaspandana: Hey @AmitMalviya, was nice to meet you and thanks for the kind words about Karnataka under the @Siddaramaiah government.…"
RT @nandinisundar: Liberalinfighting 2 Disagree with @Ram_Guha on burqas but surely he is not the main enemy to waste so much print space..…
"RT @bprerna: Those parents who happen to be BJP supporters &amp; were saddened by the fact that their children will have to redo the exam, now…"
@HareshPln @narendramodi @TajinderBagga @charupragya @bharatpandyabjp @VinodChavdaBJP @nanditathhakur @Hemisha_Bjp… https://t.co/8KkYJ29j6g
"RT @shiksha_mitra: पिछली सरकारों ने शिक्षामित्रों के साथ गलत किया=BJP के नेता

आपकी सरकार ने शिक्षामित्रों के साथ कितना अच्छा किया=जनता

55…"
RT @iSinghApurva: Kejriwal cheated traders and delhiites once again by making a false promise. #UTurnKejriwal
@yadavakhilesh Sir bhihar me kis tarha masjid par hmla ho rha h ab kaha gyi BJP Sarkar sir apse request Hai ki aap… https://t.co/ewyOjFNaXB
"RT @AdvRajendraPal: Boomerang time : BJP's callousness on Dalits comes a full circle with poetic justice
 https://t.co/Y98Xlq6bcO

V/S
 htt…"
"@codelust Social media is a tiny fraction of BJP’s propaganda machine. Since we spend most of our time here, we thi… https://t.co/WPXw0xkxIq"
"RT @SalmanSoz: If you believe PM Modi and BJP have delivered on their big promises, I wish you #HappyJumlaDivas. That’s the least I can do."
RT @svaradarajan: Akhilesh: 'We Will Build a Strong Coalition With Mayawatiji and Defeat BJP in 2019' | My interview with the former CM of…
"RT @shiksha_mitra: मणिपुर सरकार ने SSA ,RMSA टीचर्स को 20/03/2018 को सीधा रेगुलर किया

UP में कोनसी मुसीबत  

एसा लगता है BJP सरकार जानबूझक…"
"RT @Pankajbala_A: Congress has become biggest BJP 'bhakt': Union Minister 
https://t.co/mXHBG0ZBth
-via @inshorts"
RT @IndianExpress: Haryana CM M L Khattar attends BJP workers’ meet https://t.co/DKgHh1bcKx
"RT @sidmtweets: BJP had a fabulous start on social media,today they are losing plot. I see two reasons
1. Denial to accept that there is le…"
RT @LDAgarwal1: @cyberstentorian @Adiiidatta @MALAVIKAAVINASH @BJP4India Fully agree with u ! Has all the right quality to be a top ranking…
"RT @asaravanan21: Every Tamilian is feeling whether TN is an equal partner in India. Indian Union you unduly want our Medical seats, our ta…"
"Karnatakadalli hechchide anyaya mattu ashanti..
Ee saari Congress ge kodabeku vishranti 😂😂
@AnanthKumar_BJP… https://t.co/1hTzvaMunl"
"RT @IndiaToday: .@divyaspandana said Congress president @RahulGandhi guided her, and said credit should go to him for trusting her.
#Karnat…"
#HappyJumlaDivas AGR evm ht jay to ek seat nh jit skti bjp jumla party https://t.co/NyD9hAvBwX
RT @CharuKeya: BJP gets its govt in Haryana to copy AAP-led Delhi govt's idea of doorstep delivery of services! While simultaneously not al…
"#2019मैं_इसे_भी_मारेंगे_कम_और_जखम_ज्यादा_देंगे ।।।।।।।।

हौंसला मत हार
गिरकर ऐ मुसाफिर
अगर दर्द यहाँ मिला है,
तो द… https://t.co/m8pUv7L9BX"
"RT @AshfakOfficial: बेटा खोने के बाद भी वो 'शांति' की अपील कर रहा है और तुम दंगे भड़का रहे हो, संस्कृति क्या होती है BJP को उस ईमाम से सीख…"
@Richasharma0971 @sadhavi Appreciate now congress trying to copy rss/BJP earlier Aap if read at least rich history of its own immense help
"RT @AdityaMenon22: Big survey by @rpbreakingnews. 63% voters in Rajasthan, 59% in Chhattisgarh and 55% in MP want to vote out BJP. Majority…"
RT @cyberstentorian: I like @MALAVIKAAVINASH She is a firebrand individual in BJP. She articulates so well that opposition parties gets dem…
RT @chandrasmonu: राष्ट्रीय स्वयंसेवक संघ के संस्थापक परम श्रद्धेय डॉ. केशवराव बलिराम हेडगेवार जी की जयंती पर #BEdTET2011 बेरोज़गारों की तर…
"RT @ajad_vichar: उत्तर प्रदेश की bjp सरकार से एक ही निवेदन है।शिक्षामित्रों को समान कार्य समान वेतन जब तक शिक्षक नही बन जाते ,तत्काल लागू क…"
"RT @asaravanan21: Every single move of the #BJP govt in the Cauvery issue was biased towards Karnataka. TN treated like an unwanted child,…"
"2019 मे सब पार्टीया एक होकर bjp भगानेमे  लगी है,और इधर श्वेता सिंग को लुझ मोशन चालू हो गया है।♨️♨️♨️♨️😃 #भाजपा_भगाओ_देश_बचाओ"
RT @ANINewsUP: All the 9 candidates of BJP have won #RajyaSabhaElections: UP CM Yogi Adityanath https://t.co/Ahj6nC7wg4
